Rank,Player,Position,Salary Average
1,Patrick Mahomes,QB,450000000
2,Josh Allen,QB,258034000
3,Russell Wilson,QB,242588236
4,Kyler Murray,QB,230500000
5,Deshaun Watson,QB,230000000
6,Matthew Stafford,QB,160000000
7,Dak Prescott,QB,160000000
8,Aaron Rodgers,QB,150815000
9,Matt Ryan,QB,150000000
10,Jared Goff,QB,134000000
11,Carson Wentz,QB,128000000
12,Derek Carr,QB,121500000
13,Ryan Tannehill,QB,118000000
14,Trevor Lawrence,QB,36793488
15,Joe Burrow,QB,36190137
16,Zach Wilson,QB,35150681
17,Kirk Cousins,QB,35000000
18,Trey Lance,QB,34105275
19,Baker Mayfield,QB,32682980
20,Tua Tagovailoa,QB,30275438
21,Sam Darnold,QB,30247715
22,Jameis Winston,QB,28000000
23,Justin Herbert,QB,26578755
24,Daniel Jones,QB,25664056
25,Justin Fields,QB,18871957
26,Marcus Mariota,QB,18750000
27,Case Keenum,QB,18000000
28,Mac Jones,QB,15586352
29,Tom Brady,QB,15000000
30,Mitchell Trubisky,QB,14285000
31,Kenny Pickett,QB,14067905
