Ranking,Name,Postion,Average Salary
1,Patrick Mahomes,QB,450000000
2,Joe Burrow,QB,275000000
3,Justin Herbert,QB,262500000
4,Lamar Jackson,QB,260000000
5,Josh Allen,QB,258034000
6,Jalen Hurts,QB,255000000
7,Russell Wilson,QB,242588236
8,Kyler Murray,QB,230500000
9,Deshaun Watson,QB,230000000
10,Daniel Jones,QB,160000000
11,Matthew Stafford,QB,160000000
12,Dak Prescott,QB,160000000
13,Derek Carr,QB,150000000
14,Jared Goff,QB,134000000
15,Ryan Tannehill,QB,118000000
16,Aaron Rodgers,QB,112500000
17,Geno Smith,QB,75000000
18,Jimmy Garoppolo,QB,72750000
19,Bryce Young,QB,37955071
20,Trevor Lawrence,QB,36793488
21,C.J. Stroud,QB,36279243
22,Zach Wilson,QB,35150681
23,Kirk Cousins,QB,35000000
24,Trey Lance,QB,34105275
25,Anthony Richardson,QB,33994031
26,Tua Tagovailoa,QB,30275438
27,Justin Fields,QB,18871957
28,Mac Jones,QB,15586352
29,Kenny Pickett,QB,14067905
30,Taylor Heinicke,QB,14000000
31,Jordan Love,QB,13500000
