Rank,NAME,Team,Position,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW
1,Brock Purdy,SF,QB,75.6,31.7,407,62.1,53.5,8,-8.8,0.6,75.1
2,Dak Prescott,DAL,QB,75.6,43.5,507,78.3,63.8,10.1,-11.5,4.5,77.1
3,Josh Allen,BUF,QB,72.4,38.8,536,82.2,58.3,23.4,-5.8,0.5,73.6
4,Patrick Mahomes,KC,QB,69.8,36.2,537,79.9,59.1,17.6,-6.3,3.2,72.2
5,Justin Herbert,LAC,QB,68.2,28.2,543,73.6,62.5,10.5,-10.9,0.6,67.6
6,Kirk Cousins,MIN,QB,63.4,15.9,364,46.4,43.3,0,-7.6,3.1,65
7,Tua Tagovailoa,MIA,QB,61.9,17.8,465,53.8,58.1,-6.1,-5.8,1.8,63.2
8,Trevor Lawrence,JAX,QB,61.8,15.9,484,54.8,43.1,4.2,-9.7,7.5,61.4
9,Jalen Hurts,PHI,QB,61.3,18.9,584,67.7,48.6,15.5,-11.4,3.5,61.3
10,Jared Goff,DET,QB,60.3,15.4,489,50.2,49,-1,-7.2,2.3,60.9
11,C.J. Stroud,HOU,QB,59.5,13.6,514,55.3,51,3.4,-14.4,0.9,59.2
12,Matthew Stafford,LAR,QB,59.5,11.8,443,47.6,42.7,1.7,-8.7,3.2,59.3
13,Lamar Jackson,BAL,QB,58.5,12.4,505,54.1,38.9,11.9,-11.1,3.3,58.6
14,Gardner Minshew,IND,QB,58.5,7.1,400,39.9,36.9,1.5,-8.5,1.5,56.2
15,Jordan Love,GB,QB,58.3,14,502,54,46.2,4.8,-9.4,3,59.7
16,Geno Smith,SEA,QB,56.3,7.1,486,48.3,43.3,4.5,-11,0.5,55.1
17,Joshua Dobbs,MIN,QB,54.9,7.2,522,47.6,22.1,22.1,-10.8,3.3,54.9
18,Joe Burrow,CIN,QB,53,1.3,431,38,32.1,3.5,-11.2,2.4,51.1
19,Baker Mayfield,TB,QB,51.9,4.9,511,47.4,40.4,3.6,-9.2,3.4,53.4
20,Russell Wilson,DEN,QB,50.3,0.7,467,39.4,23.1,11.1,-14.6,5.2,50.6
21,Sam Howell,WSH,QB,47.8,-0.9,642,52.3,33.3,15.3,-22.9,3.7,49.5
22,Derek Carr,NO,QB,47.7,-1.2,459,37.6,42.9,-5.2,-9.9,-0.1,49.1
23,Justin Fields,CHI,QB,45.1,-2.3,346,24.9,17.2,8.6,-12,-0.9,47.7
24,Desmond Ridder,ATL,QB,38.8,-9.3,388,24.8,18,5,-10.2,1.7,41.6
25,Daniel Jones,NYG,QB,38.4,-8.5,241,10.7,2.8,7.7,-9.6,0.1,37.8
26,Kenny Pickett,PIT,QB,38.1,-16.6,389,17.6,12,3.1,-11.3,2.6,35.4
27,Mac Jones,NE,QB,36.4,-14.6,413,21.6,20.6,1.4,-8.8,-0.5,37.7
28,Bryce Young,CAR,QB,31.3,-24.5,484,17.1,3.3,11.6,-17.8,2.1,32.8
29,Zach Wilson,NYJ,QB,30.3,-22.3,413,13.9,9.3,1.9,-16.7,2.7,31.7
